roi_ind,r,p
75,-0.22,0.497288816624153
76,-0.24,0.45613590391740155
77,-0.14,0.675686076940175
78,0.02,0.9406758577554696
79,-0.09,0.7817355642432253
80,-0.04,0.8999443382202046
81,0.05,0.8659857653083474
82,-0.27,0.3958882423588351
83,0.02,0.9568610482908818
84,-0.45,0.1409105183473754
85,0.2,0.524431482149789
86,0.07,0.8353037850598968
87,-0.08,0.8003314475771465
88,-0.15,0.634618123447799
89,-0.03,0.9281883118276082
90,0.17,0.5931252216015063
91,-0.07,0.8224972681943956
92,-0.03,0.917694616119648
93,-0.09,0.7879970540272945
94,0.11,0.7433436684574599
95,0.19,0.5645843039631449
96,0.39,0.2156552335248852
97,-0.31,0.3188878350087032
98,0.03,0.9149178756366966
99,0.14,0.6623999933461322
100,-0.69,0.013330762565800871
101,-0.46,0.13397968402840046
102,-0.4,0.19959911545305428
103,0.15,0.6483546079704434
104,-0.02,0.9492984852264371
105,-0.35,0.2674646615124079
106,-0.32,0.3143617681964772
107,-0.33,0.29894876202280024
108,0.1,0.7596196398954224
109,0.26,0.4165292098187823
110,0.16,0.6183044924006389
111,0.05,0.8871396573970772
112,-0.3,0.3388995752900194
113,0.05,0.8846011377046213
114,-0.14,0.6549375891247176
115,-0.37,0.23376075638137467
116,0.2,0.5281900329261145
117,-0.26,0.42013531387184183
118,-0.11,0.7332248987182804
119,-0.08,0.8162371910609504
120,-0.18,0.5853002571015998
121,-0.56,0.060353420989358336
122,-0.12,0.7107259523013015
123,-0.33,0.2981968787388392
124,-0.31,0.3321073892115619
125,-0.38,0.21795505460233375
126,-0.19,0.5487195603713702
127,-0.21,0.5176456975017086
128,-0.33,0.29027352580027865
129,-0.35,0.26330387871009137
130,-0.47,0.12164860288574197
131,-0.53,0.07646930949178708
132,-0.22,0.4912382979007873
133,0.27,0.3926038551260632
134,0.02,0.949053660266429
135,0.14,0.6554626128703475
136,-0.11,0.7340592666593172
137,-0.62,0.030034747595974205
138,-0.36,0.2545258237982914
139,0.14,0.6696059061860271
140,-0.32,0.31275096424003723
141,-0.66,0.020778055260677546
142,-0.4,0.1943676597331902
143,-0.51,0.09285462464405483
144,-0.68,0.014915493279985727
