,movie,seed,fold,accuracy,balanced_accuracy,roc_auc
129,run2,2,10,0.7894736842105263,0.8011363636363636,0.8409090909090909
130,run2,3,1,0.8235294117647058,0.8071428571428572,0.8714285714285714
131,run2,3,2,0.6666666666666666,0.65,0.7625
132,run2,3,3,0.8333333333333334,0.825,0.9
133,run2,3,4,0.8235294117647058,0.8263888888888888,0.9027777777777778
134,run2,3,5,0.4,0.4,0.36
135,run2,3,6,0.6111111111111112,0.5714285714285714,0.5178571428571428
136,run2,3,7,0.7058823529411765,0.675,0.7833333333333333
137,run2,3,8,0.7222222222222222,0.75,0.875
138,run2,3,9,0.7222222222222222,0.7,0.7625
139,run2,3,10,0.8235294117647058,0.8257575757575758,0.8939393939393939
140,run2,4,1,0.8823529411764706,0.9230769230769231,0.9615384615384616
141,run2,4,2,0.6666666666666666,0.6964285714285714,0.8214285714285714
142,run2,4,3,0.5,0.475,0.5375
143,run2,4,4,0.8823529411764706,0.8819444444444444,0.9861111111111112
144,run2,4,5,0.6470588235294118,0.6388888888888888,0.6180555555555556
145,run2,4,6,0.4,0.43956043956043955,0.5274725274725275
146,run2,4,7,0.6666666666666666,0.6071428571428572,0.8035714285714285
147,run2,4,8,0.7777777777777778,0.7916666666666667,0.9305555555555556
148,run2,4,9,0.7222222222222222,0.75,0.8611111111111112
149,run2,4,10,0.8235294117647058,0.8194444444444444,0.9305555555555556
150,run2,5,1,0.8823529411764706,0.8819444444444444,0.9027777777777778
151,run2,5,2,0.8333333333333334,0.8035714285714286,0.9642857142857143
152,run2,5,3,0.7777777777777778,0.7678571428571428,0.8571428571428572
153,run2,5,4,0.6111111111111112,0.34375,0.25
154,run2,5,5,0.5555555555555556,0.55,0.6375
155,run2,5,6,0.7647058823529411,0.7638888888888888,0.8472222222222223
156,run2,5,7,0.5789473684210527,0.5777777777777777,0.7444444444444445
157,run2,5,8,0.6666666666666666,0.6375,0.875
158,run2,5,9,0.6470588235294118,0.6527777777777778,0.611111111111111
159,run2,5,10,0.6666666666666666,0.675,0.825
160,run2,6,1,0.5555555555555556,0.5,0.7222222222222222
161,run2,6,2,0.7647058823529411,0.775,0.7666666666666667
162,run2,6,3,0.7777777777777778,0.5892857142857143,0.6964285714285714
163,run2,6,4,0.8235294117647058,0.8263888888888888,0.875
164,run2,6,5,0.47058823529411764,0.47916666666666663,0.4861111111111111
165,run2,6,6,0.7647058823529411,0.7424242424242424,0.8939393939393939
166,run2,6,7,0.7,0.6875,0.7395833333333333
167,run2,6,8,0.7777777777777778,0.75,0.75
168,run2,6,9,0.7222222222222222,0.7,0.8375
169,run2,6,10,0.7777777777777778,0.7662337662337663,0.8571428571428572
170,run2,7,1,0.8823529411764706,0.9090909090909092,1.0
171,run2,7,2,0.8235294117647058,0.8285714285714285,0.8714285714285714
