,mtest,seed,fold,balanced_accuracy,roc_auc
261,pockets,6,2,0.7333333333333334,0.7333333333333334
262,pockets,6,3,0.7678571428571428,0.7857142857142857
263,pockets,6,4,0.5208333333333333,0.5277777777777778
264,pockets,6,5,0.2361111111111111,0.25
265,pockets,6,6,0.48484848484848486,0.46969696969696967
266,pockets,6,7,0.6041666666666667,0.7083333333333333
267,pockets,6,8,0.5416666666666666,0.6527777777777778
268,pockets,6,9,0.5875,0.7625
269,pockets,6,10,0.5324675324675324,0.5194805194805194
270,pockets,7,1,0.5984848484848485,0.5
271,pockets,7,2,0.6071428571428572,0.657142857142857
272,pockets,7,3,0.6375,0.8374999999999999
273,pockets,7,4,0.5125,0.7125
274,pockets,7,5,0.6666666666666666,0.6527777777777778
275,pockets,7,6,0.53125,0.625
276,pockets,7,7,0.4305555555555556,0.4444444444444445
277,pockets,7,8,0.5833333333333333,0.5208333333333334
278,pockets,7,9,0.575,0.5125000000000001
279,pockets,7,10,0.4652777777777778,0.4722222222222222
280,pockets,8,1,0.575,0.575
281,pockets,8,2,0.4107142857142857,0.26785714285714285
282,pockets,8,3,0.5416666666666666,0.7777777777777777
283,pockets,8,4,0.4920634920634921,0.5555555555555556
284,pockets,8,5,0.625,0.6388888888888888
285,pockets,8,6,0.5714285714285714,0.625
286,pockets,8,7,0.5961538461538461,0.6538461538461539
287,pockets,8,8,0.5857142857142856,0.6714285714285714
288,pockets,8,9,0.6,0.58
289,pockets,8,10,0.5324675324675324,0.6623376623376623
290,pockets,9,1,0.6190476190476191,0.7777777777777778
291,pockets,9,2,0.375,0.4305555555555556
292,pockets,9,3,0.7625,0.7375
293,pockets,9,4,0.25,0.2638888888888889
294,pockets,9,5,0.4675324675324675,0.4285714285714285
295,pockets,9,6,0.5681818181818181,0.5909090909090908
296,pockets,9,7,0.55,0.5800000000000001
297,pockets,9,8,0.5714285714285714,0.5178571428571428
298,pockets,9,9,0.725,0.8125
299,pockets,9,10,0.6730769230769231,0.8461538461538463
300,overcome,0,1,0.825,0.8250000000000002
301,overcome,0,2,0.575,0.5375
302,overcome,0,3,0.7083333333333333,0.611111111111111
303,overcome,0,4,0.5357142857142857,0.5
304,overcome,0,5,0.6346153846153846,0.7115384615384616
305,overcome,0,6,0.6571428571428571,0.5285714285714286
306,overcome,0,7,0.5,0.5432098765432098
307,overcome,0,8,0.5416666666666667,0.5555555555555556
308,overcome,0,9,0.625,0.675
309,overcome,0,10,0.6442307692307692,0.7307692307692307
310,overcome,1,1,0.8333333333333333,0.8484848484848485
311,overcome,1,2,0.5064935064935066,0.5324675324675325
312,overcome,1,3,0.55,0.5875
313,overcome,1,4,0.3942307692307692,0.4230769230769231
314,overcome,1,5,0.625,0.75
315,overcome,1,6,0.5416666666666666,0.5416666666666666
316,overcome,1,7,0.6666666666666667,0.6666666666666666
317,overcome,1,8,0.6875,0.7875000000000001
318,overcome,1,9,0.6357142857142857,0.7
319,overcome,1,10,0.3076923076923077,0.5
320,overcome,2,1,0.5,0.3928571428571429
321,overcome,2,2,0.6625,0.7375
322,overcome,2,3,0.575,0.5874999999999999
323,overcome,2,4,0.5,0.46875
324,overcome,2,5,0.8333333333333334,0.875
325,overcome,2,6,0.7230769230769231,0.6923076923076923
326,overcome,2,7,0.5984848484848485,0.5606060606060607
327,overcome,2,8,0.48214285714285715,0.5535714285714285
328,overcome,2,9,0.7083333333333333,0.8055555555555556
329,overcome,2,10,0.48863636363636365,0.5568181818181819
330,overcome,3,1,0.8285714285714285,0.7428571428571429
331,overcome,3,2,0.4,0.33749999999999997
332,overcome,3,3,0.525,0.5375000000000001
333,overcome,3,4,0.6458333333333333,0.6527777777777779
334,overcome,3,5,0.44999999999999996,0.46
335,overcome,3,6,0.6785714285714286,0.8035714285714285
336,overcome,3,7,0.3916666666666667,0.55
337,overcome,3,8,0.5833333333333333,0.5833333333333333
338,overcome,3,9,0.7125,0.8
339,overcome,3,10,0.6590909090909092,0.7878787878787878
340,overcome,4,1,0.7980769230769231,0.7884615384615385
341,overcome,4,2,0.8214285714285714,0.7142857142857142
342,overcome,4,3,0.6375,0.875
343,overcome,4,4,0.4722222222222222,0.4444444444444444
344,overcome,4,5,0.5138888888888888,0.7083333333333334
345,overcome,4,6,0.41208791208791207,0.3846153846153846
346,overcome,4,7,0.6607142857142857,0.5892857142857143
347,overcome,4,8,0.875,0.8472222222222223
348,overcome,4,9,0.3333333333333333,0.45833333333333337
349,overcome,4,10,0.5138888888888888,0.625
350,overcome,5,1,0.5833333333333333,0.5972222222222222
351,overcome,5,2,0.8392857142857143,0.9464285714285715
352,overcome,5,3,0.44642857142857145,0.3392857142857143
353,overcome,5,4,0.3125,0.34375
354,overcome,5,5,0.4875,0.475
355,overcome,5,6,0.7638888888888888,0.8055555555555556
356,overcome,5,7,0.6222222222222222,0.7222222222222222
357,overcome,5,8,0.5875,0.625
358,overcome,5,9,0.4236111111111111,0.5972222222222222
359,overcome,5,10,0.8,0.775
360,overcome,6,1,0.7083333333333333,0.763888888888889
361,overcome,6,2,0.4916666666666667,0.5166666666666666
